session_pitch,pitch_speed_mph,transfer_energy_fp_br,session_mass_pounds,session_height_feet
2653_2,89.4,-0.38127614768756857,170.00265743999998,6.2500002
2653_3,89.1,-0.09725342394114267,170.00265743999998,6.2500002
2653_4,87.8,-0.6542462325715838,170.00265743999998,6.2500002
2653_5,87.7,-0.1777655324441688,170.00265743999998,6.2500002
2655_1,84.8,-0.3460909220786438,208.003251456,5.916666856
2655_2,85.8,-0.011251552287382473,208.003251456,5.916666856
2655_3,85.1,-0.26816213514253096,208.003251456,5.916666856
2655_4,84.8,-0.0491361056552203,208.003251456,5.916666856
2655_5,84.9,-0.4310048679489085,208.003251456,5.916666856
2730_1,81.8,-0.8924166595315361,198.00309513599998,6.166666864
2730_2,82.6,-0.6923883239389361,198.00309513599998,6.166666864
2730_3,82.8,-0.6664305396493007,198.00309513599998,6.166666864
2730_5,81.6,-0.7596033725806541,198.00309513599998,6.166666864
2734_1,87.9,-0.43713921154654106,194.00303260799998,6.000000192
2734_2,88.1,-0.1799548585591924,194.00303260799998,6.000000192
2734_3,87.8,-0.5430784551508439,194.00303260799998,6.000000192
2734_4,88.4,-0.2849777564347228,194.00303260799998,6.000000192
2734_5,86.8,-0.6832251715048616,194.00303260799998,6.000000192
2742_1,87.7,2.2074166998429168,220.00343904,6.2500002
2742_2,87.6,1.4341667607163517,220.00343904,6.2500002
2742_3,87.4,1.3234754221696035,220.00343904,6.2500002
2742_4,87.8,2.440309702719306,220.00343904,6.2500002
2742_5,87.1,0.25291537944797926,220.00343904,6.2500002
2753_1,79.4,-1.7884754365080033,186.00290755199998,6.083333528
2753_2,79.9,-1.561933209527231,186.00290755199998,6.083333528
2753_3,78.8,-1.5780809628818928,186.00290755199998,6.083333528
2753_4,80.0,-1.6025878650319165,186.00290755199998,6.083333528
2753_5,79.8,-1.6188439360550781,186.00290755199998,6.083333528
2760_1,84.2,-1.2225300016594614,182.00284502399998,6.083333528
2760_2,84.4,-1.0613556040469774,182.00284502399998,6.083333528
2760_3,83.5,-1.275040373042069,182.00284502399998,6.083333528
2760_4,83.8,-1.3190763350971657,182.00284502399998,6.083333528
2760_5,84.3,-1.0071672812949468,182.00284502399998,6.083333528
2761_2,79.2,-1.4052142003579646,196.00306387199998,6.083333528
2761_3,79.7,-0.7620062655780144,196.00306387199998,6.083333528
2761_4,79.7,-0.8217740863023829,196.00306387199998,6.083333528
2761_5,79.4,-1.153452616482197,196.00306387199998,6.083333528
2806_1,79.8,-3.0371319892602546,181.002829392,5.83333352
2806_2,79.1,-2.9436314458469703,181.002829392,5.83333352
2806_3,79.4,-2.672969517456176,181.002829392,5.83333352
2806_4,79.1,-2.9925230210953293,181.002829392,5.83333352
2806_5,79.3,-2.8491256045833175,181.002829392,5.83333352
2811_1,75.8,-2.100227775955001,188.00293881599998,6.333333536
2811_2,76.4,-2.1040299262803046,188.00293881599998,6.333333536
2811_3,74.9,-1.7987912338257925,188.00293881599998,6.333333536
2811_4,75.1,-2.2809539548698736,188.00293881599998,6.333333536
2811_5,74.9,-2.553285035733452,188.00293881599998,6.333333536
2812_1,80.5,-2.0631697079481235,168.002626176,6.2500002
2812_2,79.8,-2.065932595660962,168.002626176,6.2500002
2812_3,81.0,-2.1098971627540024,168.002626176,6.2500002
2812_4,79.9,-1.8978616505772006,168.002626176,6.2500002
2812_5,79.3,-2.3113377088618234,168.002626176,6.2500002
2815_1,91.1,3.2756937864385254,214.003345248,6.2500002
